time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,anomaly,state
2017-01-04 05:35:00,909.47,897.36,-79.87,-92.26,841.75,-62.74,-1,2
2017-01-04 05:40:00,895.68,935.48,-82.56,-85.05,853.94,-68.29,-1,2
2017-01-08 05:15:00,839.22,828.04,-112.57,-108.59,795.98,-88.06,-1,2
2017-01-08 05:20:00,966.54,877.71,-110.49,-113.79,894.19,-85.61,-1,2
2017-01-19 08:55:00,813.41,857.58,-100.83,-110.54,794.27,-79.46,-1,2
2017-01-19 09:05:00,931.66,1041.37,-65.99,-74.1,871.04,-41.58,-1,2
2017-01-19 09:10:00,975.07,1061.51,-72.37,-86.48,906.31,-49.8,-1,2
2017-01-19 09:15:00,970.17,1031.08,-98.35,-103.14,893.83,-73.0,-1,2
2017-01-20 04:40:00,795.99,827.74,-104.24,-116.99,764.69,-77.65,-1,2
2017-01-20 04:50:00,973.75,998.33,-109.91,-122.79,880.68,-88.03,-1,2
2017-01-22 23:35:00,1015.86,1016.02,-120.76,-134.14,945.89,-96.3,-1,2
2017-01-22 23:40:00,969.06,996.14,-96.63,-105.42,919.68,-69.16,-1,2
2017-01-22 23:45:00,961.26,1018.56,-73.4,-80.48,913.04,-50.29,-1,2
2017-01-23 00:05:00,912.94,936.77,-67.44,-82.91,848.15,-48.86,-1,2
2017-01-23 00:10:00,978.14,1008.41,-65.95,-72.15,903.36,-48.86,-1,2
2017-01-23 00:15:00,953.34,982.47,-66.63,-76.93,873.73,-47.82,-1,2
2017-01-23 00:20:00,974.84,949.46,-77.82,-89.35,874.28,-57.27,-1,2
2017-01-23 00:25:00,970.15,933.81,-88.57,-97.83,875.99,-65.19,-1,2
2017-01-23 00:30:00,966.4,931.4,-100.5,-108.65,876.61,-74.0,-1,2
2017-01-23 01:40:00,958.78,944.41,-93.82,-108.86,901.83,-75.06,-1,2
2017-01-23 06:45:00,748.73,984.39,-81.81,-108.76,719.17,-85.01,-1,2
2017-01-23 07:25:00,931.94,957.08,-58.58,-88.9,854.08,-59.76,-1,2
2017-01-23 07:30:00,978.61,989.45,-64.75,-86.26,892.86,-61.71,-1,2
2017-01-23 07:35:00,946.94,938.35,-83.33,-106.55,883.99,-84.63,-1,2
2017-01-23 15:00:00,809.0,918.94,-73.04,-86.9,789.24,-82.67,-1,2
2017-01-23 15:05:00,947.59,931.23,-87.61,-111.56,872.3,-81.95,-1,2
2017-01-23 15:20:00,1018.45,973.54,-81.94,-96.01,888.7,-70.98,-1,2
2017-01-23 15:25:00,954.2,993.54,-80.94,-85.8,905.5,-66.66,-1,2
2017-01-23 15:35:00,1022.15,1052.36,-112.19,-117.15,931.79,-95.27,-1,2
2017-01-23 16:15:00,1014.27,1006.31,-106.07,-126.63,913.95,-105.0,-1,2
2017-01-23 16:35:00,1015.04,1020.17,-117.48,-140.61,942.64,-116.92,-1,2
2017-01-25 01:00:00,1097.0,1035.51,-138.54,-143.55,959.32,-117.19,-1,2
2017-01-25 17:45:00,937.57,1029.32,-73.44,-79.13,879.93,-62.78,-1,2
2017-01-25 17:50:00,945.25,1017.95,-76.95,-85.32,892.14,-62.53,-1,2
2017-01-25 17:55:00,902.03,968.74,-89.39,-89.91,880.34,-73.14,-1,2
2017-01-25 18:00:00,994.74,999.28,-98.59,-104.72,891.71,-80.16,-1,2
2017-01-25 18:05:00,980.16,1038.7,-106.62,-111.91,923.53,-95.89,-1,2
2017-01-25 18:10:00,976.53,993.48,-114.82,-112.43,905.5,-99.73,-1,2
2017-01-25 18:15:00,1031.85,1027.06,-125.41,-120.33,938.44,-110.38,-1,2
2017-01-26 09:20:00,1032.38,972.51,-87.12,-107.88,976.11,-74.39,-1,2
2017-01-26 10:00:00,933.63,980.51,-65.44,-77.33,902.91,-52.36,-1,2
2017-01-26 10:05:00,980.39,996.0,-57.95,-79.21,924.99,-52.16,-1,2
2017-01-26 10:10:00,913.19,981.28,-72.57,-86.47,896.91,-69.25,-1,2
2017-01-26 10:20:00,1064.62,1078.32,-94.4,-97.15,964.11,-88.85,-1,2
2017-01-26 10:25:00,963.81,1064.61,-106.92,-108.53,931.64,-91.7,-1,2
2017-01-26 10:30:00,951.6,1048.59,-109.83,-120.27,910.53,-97.23,-1,2
2017-01-26 11:20:00,959.19,894.71,-74.19,-87.99,883.18,-63.25,-1,2
2017-01-26 11:25:00,955.82,922.91,-72.94,-85.73,903.24,-61.41,-1,2
2017-01-26 13:25:00,918.68,969.67,-67.97,-72.46,866.36,-64.6,-1,2
2017-01-26 13:35:00,940.63,962.65,-78.27,-88.34,893.92,-71.16,-1,2
2017-01-28 17:05:00,935.39,1008.61,-75.16,-87.51,845.23,-64.06,-1,2
2017-01-28 17:10:00,995.62,1038.63,-85.78,-102.32,902.06,-72.15,-1,2
2017-01-28 17:15:00,1016.72,1029.12,-99.3,-105.12,915.69,-85.19,-1,2
2017-01-28 17:20:00,1001.81,1024.63,-100.54,-111.84,913.59,-86.37,-1,2
2017-01-28 17:25:00,945.75,1014.76,-89.62,-98.59,900.64,-71.85,-1,2
2017-01-28 17:30:00,970.72,1007.65,-93.03,-105.53,900.39,-78.93,-1,2
2017-02-01 13:15:00,876.31,885.83,-81.76,-80.09,854.1,-67.75,-1,2
2017-02-01 13:20:00,957.86,998.5,-93.25,-85.34,909.51,-74.69,-1,2
2017-02-01 13:25:00,997.01,1003.53,-113.82,-97.97,927.34,-88.32,-1,2
2017-02-01 15:20:00,789.69,809.41,-114.61,-121.01,798.2,-86.54,-1,2
2017-02-01 15:35:00,827.94,833.54,-82.83,-97.57,829.63,-70.78,-1,2
2017-02-08 07:15:00,1061.18,1055.66,-132.73,-155.34,943.72,-113.34,-1,2
2017-02-08 07:35:00,1028.45,1070.3,-126.54,-140.48,925.35,-100.58,-1,2
2017-02-22 12:35:00,800.22,828.11,-128.41,-146.51,769.23,-94.88,-1,2
2017-02-27 01:50:00,798.03,803.3,-124.82,-124.05,767.19,-93.73,-1,2
2017-03-02 01:55:00,912.82,994.66,-87.41,-93.73,886.48,-71.47,-1,2
2017-03-02 02:00:00,908.51,1032.75,-80.94,-84.17,888.51,-62.1,-1,2
2017-03-02 02:25:00,873.18,1033.43,-72.64,-90.77,875.53,-63.83,-1,2
2017-03-02 02:35:00,883.07,966.49,-71.12,-76.81,873.53,-57.63,-1,2
2017-03-02 02:40:00,889.37,966.01,-74.92,-88.01,870.01,-57.6,-1,2
2017-03-02 02:45:00,973.18,1042.12,-75.89,-88.29,905.71,-63.78,-1,2
2017-03-02 02:50:00,1008.83,1086.78,-79.44,-100.69,917.57,-70.24,-1,2
2017-03-02 02:55:00,1018.49,1049.95,-85.68,-97.25,918.06,-72.35,-1,2
2017-03-02 03:00:00,1008.86,1041.96,-92.06,-100.71,917.23,-77.32,-1,2
2017-03-02 03:05:00,999.38,1041.49,-94.62,-102.41,905.82,-74.28,-1,2
2017-03-02 03:10:00,1005.29,1045.41,-101.57,-106.17,910.36,-76.82,-1,2
2017-03-02 03:30:00,973.81,1086.77,-107.73,-98.55,929.1,-91.11,-1,2
2017-03-02 03:35:00,937.01,1011.87,-89.44,-88.94,928.05,-67.88,-1,2
2017-03-02 03:40:00,926.4,1101.44,-71.09,-70.55,919.49,-58.91,-1,2
2017-03-02 07:40:00,815.05,960.37,-65.8,-101.29,767.72,-75.31,-1,2
2017-03-07 20:50:00,968.27,998.83,-98.78,-108.08,898.85,-80.97,-1,2
2017-03-07 20:55:00,949.56,994.05,-109.65,-113.51,897.4,-85.15,-1,2
2017-03-07 21:05:00,780.51,816.32,-94.1,-93.94,780.46,-76.94,-1,2
2017-03-07 22:45:00,998.48,974.41,-58.59,-71.62,892.77,-45.06,-1,2
2017-03-07 22:50:00,957.66,916.21,-69.58,-78.89,895.04,-60.25,-1,2
2017-03-07 22:55:00,916.32,926.1,-72.31,-76.9,862.53,-63.71,-1,2
2017-03-08 02:05:00,848.23,1027.93,-64.57,-90.96,837.95,-52.18,-1,2
2017-03-08 02:10:00,860.17,1037.6,-74.98,-91.42,859.35,-57.12,-1,2
2017-03-08 02:15:00,872.99,1080.93,-79.98,-91.86,874.38,-60.16,-1,2
2017-03-08 02:20:00,924.43,1034.47,-95.06,-110.26,890.89,-76.34,-1,2
2017-03-08 02:25:00,973.37,1065.7,-112.56,-131.52,906.89,-85.89,-1,2
2017-03-12 03:35:00,838.75,906.78,-72.59,-93.04,842.23,-58.07,-1,2
2017-03-12 04:20:00,906.78,1016.5,-56.27,-86.35,857.21,-46.12,-1,2
2017-03-12 04:25:00,898.34,1000.96,-61.17,-87.28,858.12,-52.23,-1,2
2017-03-12 04:30:00,890.3,976.26,-71.9,-89.29,852.45,-62.01,-1,2
2017-03-12 04:35:00,926.81,976.22,-71.17,-92.08,871.71,-59.95,-1,2
2017-03-12 04:40:00,916.83,977.06,-82.13,-91.15,877.42,-69.67,-1,2
2017-03-25 03:30:00,655.49,718.64,-122.07,-161.11,607.15,-100.66,-1,2
2017-03-25 03:35:00,658.44,682.43,-142.89,-167.7,614.86,-116.15,-1,2
2017-03-25 03:40:00,764.35,788.44,-141.49,-167.98,699.39,-110.74,-1,2
2017-03-25 04:30:00,961.33,927.92,-85.27,-128.65,887.87,-67.18,-1,2
2017-03-25 04:35:00,946.47,938.0,-80.05,-116.57,883.29,-66.99,-1,2
2017-03-25 04:40:00,926.26,920.59,-70.8,-109.57,866.06,-53.12,-1,2
2017-03-25 04:45:00,924.52,890.21,-72.54,-109.41,855.59,-53.29,-1,2
2017-03-25 04:50:00,910.2,885.91,-74.29,-108.18,848.23,-60.79,-1,2
2017-03-25 04:55:00,919.51,890.11,-71.61,-103.95,849.67,-59.49,-1,2
2017-03-25 05:00:00,948.72,899.49,-73.8,-109.13,859.25,-63.54,-1,2
2017-03-25 05:05:00,964.3,920.01,-70.47,-109.29,871.91,-56.11,-1,2
2017-03-25 05:15:00,955.3,970.73,-73.18,-80.0,876.21,-54.27,-1,2
2017-03-25 05:20:00,956.14,985.26,-79.48,-121.84,877.21,-72.72,-1,2
2017-03-25 05:25:00,961.32,971.26,-72.77,-112.02,874.91,-59.7,-1,2
2017-03-25 05:30:00,956.51,956.85,-85.78,-120.53,871.71,-70.85,-1,2
2017-03-25 05:35:00,945.54,950.96,-75.3,-113.02,865.75,-64.01,-1,2
2017-03-25 05:40:00,936.98,957.13,-80.31,-114.19,864.84,-66.33,-1,2
2017-03-25 05:50:00,936.61,962.36,-80.18,-112.16,874.37,-65.97,-1,2
2017-03-25 05:55:00,979.91,987.48,-86.11,-120.24,893.92,-69.23,-1,2
2017-03-25 06:00:00,977.65,989.92,-78.43,-112.26,894.68,-65.37,-1,2
2017-03-25 06:15:00,992.02,1002.37,-84.64,-120.43,895.02,-69.39,-1,2
2017-03-25 06:35:00,988.56,1016.14,-104.04,-141.66,909.82,-87.62,-1,2
2017-03-25 06:40:00,957.2,997.08,-93.16,-118.5,908.31,-73.26,-1,2
2017-03-25 06:45:00,1006.7,1026.61,-105.66,-141.12,943.07,-84.64,-1,2
2017-03-25 07:00:00,970.78,1022.02,-118.53,-143.5,941.77,-94.48,-1,2
2017-03-25 10:15:00,909.61,907.69,-65.65,-87.44,845.11,-51.91,-1,2
2017-03-25 10:20:00,891.18,896.62,-68.91,-84.42,850.2,-57.28,-1,2
2017-03-25 10:25:00,929.73,943.84,-72.06,-94.27,862.06,-59.99,-1,2
2017-03-25 10:30:00,966.36,963.82,-86.36,-107.0,898.32,-72.71,-1,2
2017-03-26 01:20:00,809.32,831.92,-97.15,-115.53,794.51,-72.46,-1,2
2017-03-26 01:25:00,983.29,932.22,-88.91,-121.77,860.68,-68.91,-1,2
2017-03-26 01:30:00,1016.08,995.02,-95.76,-124.99,906.24,-71.96,-1,2
2017-03-26 01:35:00,981.89,997.83,-100.43,-124.62,909.32,-79.54,-1,2
2017-03-26 01:45:00,884.33,917.46,-72.09,-105.18,841.96,-51.44,-1,2
2017-03-26 01:50:00,968.7,978.67,-92.56,-121.45,877.68,-69.12,-1,2
2017-03-29 22:15:00,860.92,869.82,-71.52,-90.17,855.84,-59.49,-1,2
2017-03-29 22:20:00,970.51,1085.37,-111.29,-133.29,889.58,-81.58,-1,2
2017-03-30 23:40:00,913.25,943.23,-68.33,-84.13,834.72,-53.45,-1,2
2017-03-30 23:45:00,946.87,969.22,-73.98,-88.42,878.86,-55.16,-1,2
2017-03-30 23:55:00,1022.24,1025.23,-95.72,-111.35,921.24,-72.74,-1,2
2017-03-31 00:00:00,964.52,978.04,-98.68,-108.12,941.85,-78.62,-1,2
2017-03-31 00:05:00,1009.28,1026.26,-101.05,-107.81,950.88,-76.9,-1,2
2017-03-31 00:10:00,1015.79,1059.95,-122.07,-126.04,974.16,-97.12,-1,2
