start,end,duration
2017-05-20 07:50:00,2017-05-20 09:15:00,0 days 01:25:00
2017-05-21 05:35:00,2017-05-21 13:15:00,0 days 07:40:00
2017-05-21 13:20:00,2017-05-21 13:50:00,0 days 00:30:00
2017-05-21 13:55:00,2017-05-21 14:00:00,0 days 00:05:00
2017-05-21 14:05:00,2017-05-21 14:45:00,0 days 00:40:00
2017-05-21 14:50:00,2017-05-21 15:05:00,0 days 00:15:00
2017-05-21 15:20:00,2017-05-21 15:25:00,0 days 00:05:00
2017-05-21 15:30:00,2017-05-21 15:40:00,0 days 00:10:00
2017-05-21 15:50:00,2017-05-21 15:55:00,0 days 00:05:00
2017-05-21 16:00:00,2017-05-21 16:10:00,0 days 00:10:00
2017-05-21 16:25:00,2017-05-21 16:30:00,0 days 00:05:00
2017-05-21 16:45:00,2017-05-21 16:50:00,0 days 00:05:00
2017-05-21 17:00:00,2017-05-21 17:30:00,0 days 00:30:00
2017-05-21 17:40:00,2017-05-21 17:45:00,0 days 00:05:00
2017-05-21 17:50:00,2017-05-21 17:55:00,0 days 00:05:00
2017-05-21 18:05:00,2017-05-21 18:25:00,0 days 00:20:00
2017-05-21 18:45:00,2017-05-21 18:55:00,0 days 00:10:00
2017-05-21 19:00:00,2017-05-21 19:50:00,0 days 00:50:00
2017-05-21 19:55:00,2017-05-21 20:05:00,0 days 00:10:00
2017-05-21 20:10:00,2017-05-22 00:25:00,0 days 04:15:00
2017-05-22 00:35:00,2017-05-22 02:40:00,0 days 02:05:00
2017-05-22 02:45:00,2017-05-22 04:45:00,0 days 02:00:00
2017-05-22 05:00:00,2017-05-22 05:05:00,0 days 00:05:00
2017-05-22 05:45:00,2017-05-22 05:55:00,0 days 00:10:00
2017-05-22 06:05:00,2017-05-22 06:10:00,0 days 00:05:00
2017-05-22 06:15:00,2017-05-22 10:55:00,0 days 04:40:00
2017-05-22 11:05:00,2017-05-22 11:45:00,0 days 00:40:00
2017-05-22 11:50:00,2017-05-22 12:15:00,0 days 00:25:00
2017-05-22 12:20:00,2017-05-22 12:30:00,0 days 00:10:00
2017-05-22 12:35:00,2017-05-22 12:45:00,0 days 00:10:00
2017-05-22 12:50:00,2017-05-22 13:00:00,0 days 00:10:00
2017-05-22 13:45:00,2017-05-22 14:10:00,0 days 00:25:00
2017-05-22 15:50:00,2017-05-22 15:55:00,0 days 00:05:00
2017-05-22 16:45:00,2017-05-22 16:55:00,0 days 00:10:00
2017-05-22 17:10:00,2017-05-22 17:15:00,0 days 00:05:00
2017-05-22 17:45:00,2017-05-22 17:50:00,0 days 00:05:00
2017-05-22 18:10:00,2017-05-22 18:20:00,0 days 00:10:00
2017-05-22 18:30:00,2017-05-22 18:35:00,0 days 00:05:00
2017-05-22 19:00:00,2017-05-23 10:10:00,0 days 15:10:00
2017-05-23 10:30:00,2017-05-23 10:40:00,0 days 00:10:00
2017-05-23 10:50:00,2017-05-23 11:00:00,0 days 00:10:00
2017-05-23 11:05:00,2017-05-23 11:50:00,0 days 00:45:00
2017-05-23 12:00:00,2017-05-23 12:05:00,0 days 00:05:00
2017-05-23 12:25:00,2017-05-23 12:45:00,0 days 00:20:00
2017-05-23 12:50:00,2017-05-23 12:55:00,0 days 00:05:00
2017-05-23 13:15:00,2017-05-23 13:25:00,0 days 00:10:00
2017-05-23 20:05:00,2017-05-23 20:20:00,0 days 00:15:00
2017-05-23 22:00:00,2017-05-23 22:05:00,0 days 00:05:00
2017-05-23 22:20:00,2017-05-23 22:25:00,0 days 00:05:00
2017-05-23 22:55:00,2017-05-23 23:35:00,0 days 00:40:00
2017-05-24 00:25:00,2017-05-24 00:35:00,0 days 00:10:00
2017-05-24 01:00:00,2017-05-24 04:40:00,0 days 03:40:00
2017-05-24 04:45:00,2017-05-24 09:15:00,0 days 04:30:00
2017-05-24 09:20:00,2017-05-24 09:30:00,0 days 00:10:00
2017-05-24 09:40:00,2017-05-24 09:55:00,0 days 00:15:00
2017-05-24 10:05:00,2017-05-24 10:10:00,0 days 00:05:00
2017-05-24 10:20:00,2017-05-24 10:35:00,0 days 00:15:00
2017-05-24 10:45:00,2017-05-24 11:15:00,0 days 00:30:00
2017-05-24 11:35:00,2017-05-24 12:05:00,0 days 00:30:00
2017-05-24 20:45:00,2017-05-24 20:50:00,0 days 00:05:00
2017-05-24 20:55:00,2017-05-24 21:20:00,0 days 00:25:00
2017-05-24 21:30:00,2017-05-24 21:45:00,0 days 00:15:00
2017-05-24 22:05:00,2017-05-24 22:30:00,0 days 00:25:00
2017-05-24 22:35:00,2017-05-24 22:40:00,0 days 00:05:00
2017-05-24 22:45:00,2017-05-25 02:05:00,0 days 03:20:00
2017-05-25 04:05:00,2017-05-25 08:35:00,0 days 04:30:00
2017-05-25 08:40:00,2017-05-25 09:30:00,0 days 00:50:00
2017-05-25 09:35:00,2017-05-25 10:00:00,0 days 00:25:00
2017-05-25 20:30:00,2017-05-25 20:35:00,0 days 00:05:00
2017-05-25 21:55:00,2017-05-25 22:20:00,0 days 00:25:00
2017-05-25 22:40:00,2017-05-26 03:05:00,0 days 04:25:00
2017-05-26 03:10:00,2017-05-26 10:10:00,0 days 07:00:00
2017-05-26 10:20:00,2017-05-26 10:35:00,0 days 00:15:00
2017-05-27 01:55:00,2017-05-27 02:20:00,0 days 00:25:00
2017-05-27 02:50:00,2017-05-27 03:30:00,0 days 00:40:00
2017-05-27 03:55:00,2017-05-27 07:45:00,0 days 03:50:00
2017-05-27 07:50:00,2017-05-27 09:00:00,0 days 01:10:00
2017-05-27 09:10:00,2017-05-27 09:15:00,0 days 00:05:00
2017-05-27 09:35:00,2017-05-27 09:45:00,0 days 00:10:00
2017-05-27 10:00:00,2017-05-27 10:15:00,0 days 00:15:00
2017-05-27 10:20:00,2017-05-27 10:25:00,0 days 00:05:00
2017-05-27 10:35:00,2017-05-27 10:45:00,0 days 00:10:00
2017-05-27 11:10:00,2017-05-27 11:15:00,0 days 00:05:00
2017-05-27 11:40:00,2017-05-27 11:45:00,0 days 00:05:00
2017-05-27 12:05:00,2017-05-27 12:10:00,0 days 00:05:00
2017-05-27 15:55:00,2017-05-27 16:05:00,0 days 00:10:00
2017-05-27 16:45:00,2017-05-27 16:50:00,0 days 00:05:00
2017-05-27 17:20:00,2017-05-27 17:25:00,0 days 00:05:00
2017-05-27 17:45:00,2017-05-27 17:50:00,0 days 00:05:00
2017-05-27 18:40:00,2017-05-27 18:45:00,0 days 00:05:00
2017-05-27 19:15:00,2017-05-27 19:25:00,0 days 00:10:00
2017-05-27 19:40:00,2017-05-27 19:45:00,0 days 00:05:00
2017-05-27 20:05:00,2017-05-27 20:10:00,0 days 00:05:00
2017-05-27 22:00:00,2017-05-27 22:05:00,0 days 00:05:00
2017-05-27 22:30:00,2017-05-27 22:35:00,0 days 00:05:00
2017-05-27 22:45:00,2017-05-27 23:05:00,0 days 00:20:00
2017-05-27 23:20:00,2017-05-27 23:25:00,0 days 00:05:00
2017-05-27 23:35:00,2017-05-27 23:45:00,0 days 00:10:00
2017-05-27 23:50:00,2017-05-27 23:55:00,0 days 00:05:00
2017-05-28 00:05:00,2017-05-28 00:15:00,0 days 00:10:00
